doi	affiliations	countries	properties
10.1109/ICITACEE.2015.7437849	Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Public Health, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia	Indonesia	body,furniture,top down,context,wearables
10.1109/HEALTH.2010.5556579	Escola Superior de Saúde, Universidade de Aveiro, 3810, Portugal;Escola Superior de Saúde, Universidade de Aveiro, 3810, Portugal;Escola de Ciências e Tecnologia, Universidade de Trás-os-Montes e Alto Douro, 5001 Vila Real, Portugal;Escola de Ciências e Tecnologia, Universidade de Trás-os-Montes e Alto Douro, 5001 Vila Real, Portugal	Portugal	involvement,ideation,top down
10.1109/HealthCom.2017.8210790	College of Computer Science, King Khalid University, IS department, Abha, Aseer, Saudi Arabia;Center for Information Systems and Technology, Claremont Graduate University, 130 E 9t St, Claremont, CA 91711	Saudi Arabia	participatory design,top down
10.1109/ICIEV.2015.7334009	Department of Artificial Intelligence, University of Malaya, Kuala Lumpur, Malaysia;Department of Artificial Intelligence, University of Malaya, Kuala Lumpur, Malaysia;Department of System Design, Tokyo Metropolitan University, Japan;Department of Artificial Intelligence, University of Malaya, Kuala Lumpur, Malaysia;Department of System Design, Tokyo Metropolitan University, Japan	Japan;Malaysia	diversity,top down,furniture
10.1109/ICCITechn.2015.7488091	Computer Science and Engineering, Discipline, Khulna Universit,. Khulna, Bangladesh;Computer Science and Engineering Discipline, Khulna University, Khulna, Bangladesh;Computer Science and Engineering Discipline, Khulna University, Khulna, Bangladesh	Bangladesh	body,stakeholders,top down,wearables
10.1109/ICSAI.2017.8248267	Department of Technology and Health, Royal Institute of Technology, KTH, Stockholm, Sweden	Sweden	involvement,furniture,stakeholders,top down,context
10.1109/MICEEI.2014.7067323	Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Public Health, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia;Dept. of Electrical Engineering and Information Technology, Universitas Gadjah Mada, Yogyakarta, Indonesia	Indonesia	body,stakeholders,participatory design,top down
10.1109/ICCE-China.2017.7991165	Department of Electronic Engineering, Oriental Institute of Technology, India;Department of Electrical Engineering, National Taiwan University of Science and Technology, China;Department of Electrical Engineering, National Taiwan University of Science and Technology, China	India;Taiwan	involvement,furniture,top down,workflow,feedback
10.1109/UIC-ATC.2012.60		Unknown	feedback,involvement,top down
10.1109/UIC-ATC.2010.49		Unknown	body,ideation,furniture,context,top down,environmental
10.1109/PHT.2013.6461298	Brunei University, Uxbridge, UB8 3PH, UK;Brunei University, Uxbridge, UB8 3PH, UK;Acute Technology, Taiwan;Brunei University, Uxbridge, UB8 3PH, UK	Taiwan	environmental,stakeholders,top down,clothes
